Date,Open,High,Low,Close,Adj Close,Volume
2010-09-29,18000.044921875,19162.548828125,16203.7900390625,18450.046875,16809.375,2850
2010-09-30,18660.046875,19556.298828125,18465.046875,18911.296875,17229.607421875,3356
2010-10-01,19102.546875,19725.048828125,19050.046875,19406.298828125,17680.591796875,1949
2010-10-04,19631.298828125,19837.548828125,18903.796875,19061.296875,17366.26953125,862
2010-10-05,19050.046875,19121.296875,18716.296875,18892.546875,17212.525390625,442
2010-10-06,19147.548828125,19151.298828125,18382.546875,18656.296875,16997.28515625,531
2010-10-07,18855.046875,18855.046875,18225.044921875,18300.044921875,16672.7109375,394
2010-10-08,18375.046875,18787.546875,18150.044921875,18667.546875,17007.533203125,401
2010-10-11,18562.546875,19612.548828125,18562.546875,19185.048828125,17479.017578125,1135
2010-10-12,19125.046875,19125.046875,18596.296875,18768.796875,17099.78125,417
2010-10-13,18960.046875,19110.046875,18397.546875,18547.546875,16898.205078125,476
2010-10-14,18851.296875,19125.046875,18240.044921875,18341.294921875,16710.29296875,1144
2010-10-15,18450.046875,18600.046875,17925.044921875,17992.544921875,16392.556640625,1033
2010-10-18,18120.044921875,18300.044921875,17625.044921875,18135.044921875,16522.384765625,871
2010-10-19,18150.044921875,18420.046875,17568.79296875,17752.544921875,16173.8984375,607
2010-10-20,17793.794921875,17962.544921875,17040.04296875,17666.294921875,16095.318359375,705
2010-10-21,17850.044921875,18300.044921875,17625.044921875,17895.044921875,16303.7275390625,399
2010-10-22,18000.044921875,18750.046875,17700.044921875,18540.046875,16891.37109375,561
2010-10-25,18667.546875,19027.546875,18300.044921875,18828.796875,17154.4453125,469
2010-10-26,18937.546875,19425.048828125,18465.046875,18776.296875,17106.611328125,673
2010-10-27,18712.546875,18731.296875,17928.794921875,18105.044921875,16495.052734375,567
2010-10-28,18116.294921875,18783.796875,18116.294921875,18483.796875,16840.125,695
2010-10-29,18525.046875,18735.046875,17332.54296875,17640.044921875,16071.4013671875,1354
2010-11-01,17996.294921875,18300.044921875,17767.544921875,18067.544921875,16460.888671875,392
2010-11-02,18067.544921875,18375.046875,17550.04296875,17640.044921875,16071.4013671875,597
2010-11-03,17718.794921875,17996.294921875,17362.54296875,17475.04296875,15921.0751953125,585
