Date,Open,High,Low,Close,Adj Close,Volume
2021-11-10,336.3333435058594,374.6666564941406,333.3333435058594,367.6333312988281,367.6333312988281,205947786
2021-11-11,368.95001220703125,373.45001220703125,340.625,368.92498779296875,368.92498779296875,43138662
2021-11-12,374.6666564941406,401.6583251953125,363.3500061035156,393.04998779296875,393.04998779296875,34978218
2021-11-15,376.8333435058594,388.73333740234375,364.1666564941406,380.375,380.375,20735118
2021-11-16,378.0,385.0,371.3333435058594,372.7916564941406,372.7916564941406,9042750
2021-11-17,373.3333435058594,376.5,350.1666564941406,353.8416748046875,353.8416748046875,16172724
2021-11-18,351.6666564941406,363.0,348.3333435058594,354.2083435058594,354.2083435058594,11958912
2021-11-22,355.875,361.9916687011719,347.0,349.6166687011719,349.6166687011719,10147740
2021-11-23,345.0,357.8833312988281,342.95001220703125,355.8166809082031,355.8166809082031,5038836
2021-11-24,358.3333435058594,386.4666748046875,354.3416748046875,374.5833435058594,374.5833435058594,15051264
2021-11-25,374.57501220703125,405.1916809082031,374.5,399.5916748046875,399.5916748046875,15805686
2021-11-26,397.5,428.95001220703125,384.6666564941406,406.1833190917969,406.1833190917969,22331574
2021-11-29,403.5,422.8333435058594,391.6666564941406,414.3999938964844,414.3999938964844,10442538
2021-11-30,413.0,426.3333435058594,396.85833740234375,406.7416687011719,406.7416687011719,5682054
2021-12-01,412.5,422.5,410.0,415.51666259765625,415.51666259765625,4443384
2021-12-02,422.5,426.6666564941406,402.0333251953125,406.3666687011719,406.3666687011719,6473622
2021-12-03,406.57501220703125,410.8333435058594,380.3333435058594,387.45001220703125,387.45001220703125,5387400
2021-12-06,388.3333435058594,392.3333435058594,362.0333251953125,365.20001220703125,365.20001220703125,11374020
2021-12-07,371.3333435058594,376.2749938964844,354.1666564941406,358.98333740234375,358.98333740234375,12719388
2021-12-08,341.5,374.8333435058594,337.7583312988281,363.8083190917969,363.8083190917969,50120532
2021-12-09,362.3333435058594,376.51666259765625,358.5,360.57501220703125,360.57501220703125,19286688
2021-12-10,360.5833435058594,363.2083435058594,350.0,352.4666748046875,352.4666748046875,11541822
2021-12-13,354.1666564941406,359.9666748046875,345.01666259765625,346.9583435058594,346.9583435058594,8443338
2021-12-14,346.6666564941406,346.9583435058594,330.0,335.9333190917969,335.9333190917969,12100380
