Date,Open,High,Low,Close,Adj Close,Volume
2002-07-01,7.800000190734863,8.199999809265137,7.599999904632568,8.0,7.575971603393555,94960
2002-07-02,8.050000190734863,8.25,7.900000095367432,8.0,7.575971603393555,82552
2002-07-03,8.5,8.5,8.100000381469727,8.300000190734863,7.860070705413818,150439
2002-07-04,8.350000381469727,8.699999809265137,8.350000381469727,8.550000190734863,8.096819877624512,151441
2002-07-05,8.899999618530273,9.25,8.449999809265137,8.75,8.286218643188477,361990
2002-07-08,9.800000190734863,9.800000190734863,8.949999809265137,9.399999618530273,8.901765823364258,301218
2002-07-09,9.5,9.899999618530273,9.100000381469727,9.149999618530273,8.665017127990723,192474
2002-07-10,9.800000190734863,9.800000190734863,8.600000381469727,8.649999618530273,8.191518783569336,78197
2002-07-11,8.699999809265137,8.699999809265137,8.25,8.300000190734863,7.860070705413818,55951
2002-07-12,10.0,10.0,8.199999809265137,8.300000190734863,7.860070705413818,56722
2002-07-15,8.5,9.0,8.0,8.100000381469727,7.670671463012695,72747
2002-07-16,8.050000190734863,8.5,8.0,8.100000381469727,7.670671463012695,39290
2002-07-17,8.100000381469727,8.100000381469727,7.650000095367432,7.699999809265137,7.291872501373291,41371
2002-07-18,7.699999809265137,7.949999809265137,7.699999809265137,7.800000190734863,7.386572360992432,27140
2002-07-19,8.699999809265137,8.699999809265137,7.599999904632568,7.75,7.339222431182861,14752
2002-07-22,7.5,7.699999809265137,6.949999809265137,7.150000095367432,6.771024703979492,26845
2002-07-23,6.900000095367432,7.050000190734863,6.5,7.0,6.628974914550781,28502
2002-07-24,6.900000095367432,7.099999904632568,6.800000190734863,6.849999904632568,6.4869256019592285,32274
2002-07-25,7.5,7.5,6.800000190734863,6.949999809265137,6.581624984741211,14002
2002-07-26,6.849999904632568,6.849999904632568,6.5,6.550000190734863,6.202826976776123,23162
2002-07-29,6.599999904632568,6.599999904632568,5.650000095367432,5.900000095367432,5.587279319763184,40040
2002-07-30,6.050000190734863,6.199999809265137,5.75,5.800000190734863,5.492579460144043,33426
2002-07-31,5.449999809265137,6.099999904632568,5.449999809265137,5.900000095367432,5.587279319763184,36053
2002-08-01,6.0,6.300000190734863,5.75,5.949999809265137,5.634628772735596,20491
2002-08-02,5.900000095367432,5.949999809265137,5.800000190734863,5.849999904632568,5.539928913116455,17340
2002-08-05,7.0,7.0,5.900000095367432,6.0,5.681978702545166,11891
2002-08-06,6.099999904632568,6.199999809265137,5.849999904632568,6.099999904632568,5.776678085327148,16568
2002-08-07,6.5,6.5,6.099999904632568,6.199999809265137,5.871377944946289,17974
2002-08-08,5.949999809265137,6.050000190734863,5.949999809265137,6.0,5.681978702545166,14723
2002-08-09,5.75,6.0,5.75,5.849999904632568,5.539928913116455,10938
2002-08-12,5.849999904632568,6.0,5.849999904632568,5.949999809265137,5.634628772735596,2926
2002-08-13,5.949999809265137,6.0,5.849999904632568,5.900000095367432,5.587279319763184,7115
2002-08-14,5.900000095367432,6.0,5.550000190734863,5.599999904632568,5.30318021774292,47661
2002-08-15,5.599999904632568,5.599999904632568,5.599999904632568,5.599999904632568,5.30318021774292,0
2002-08-16,5.699999809265137,5.699999809265137,5.550000190734863,5.650000095367432,5.35053014755249,15572
2002-08-19,5.599999904632568,5.650000095367432,5.400000095367432,5.599999904632568,5.30318021774292,13870
2002-08-20,5.699999809265137,5.699999809265137,5.300000190734863,5.449999809265137,5.161130428314209,8204
2002-08-21,5.449999809265137,5.550000190734863,5.400000095367432,5.550000190734863,5.25583028793335,11550
2002-08-22,5.599999904632568,5.599999904632568,5.400000095367432,5.449999809265137,5.161130428314209,9961
2002-08-23,5.400000095367432,5.400000095367432,5.099999904632568,5.300000190734863,5.0190815925598145,11135
2002-08-26,5.349999904632568,5.400000095367432,5.199999809265137,5.300000190734863,5.0190815925598145,19895
