Date,Open,High,Low,Close,Adj Close,Volume
2017-04-03,108.5,108.5,100.75,101.9000015258789,99.9758529663086,500848
2017-04-05,100.25,101.75,96.8125,96.8125,94.98441314697266,405048
2017-04-06,92.0,92.5,91.9749984741211,91.9749984741211,90.23825073242188,272116
2017-04-07,87.38749694824219,96.5625,87.38749694824219,96.5625,94.73912811279297,494612
2017-04-10,97.5,101.38749694824219,93.0,101.38749694824219,99.47301483154297,283364
2017-04-11,102.75,106.2249984741211,100.0,105.11250305175781,103.127685546875,214848
2017-04-12,103.6624984741211,106.75,100.9749984741211,106.0,103.99842834472656,206800
2017-04-13,106.25,106.86250305175781,105.75,106.36250305175781,104.35408782958984,86520
2017-04-17,107.5,107.5,106.25,106.42500305175781,104.4154052734375,50504
2017-04-18,104.5250015258789,118.73750305175781,104.5250015258789,108.125,106.08330535888672,568048
2017-04-19,108.23750305175781,112.625,108.23750305175781,109.98750305175781,107.91063690185547,217700
2017-04-20,110.25,113.25,110.0,110.4124984741211,108.32759857177734,97992
2017-04-21,111.2125015258789,111.73750305175781,107.75,108.6875,106.63517761230469,84496
2017-04-24,110.9749984741211,110.9749984741211,107.11250305175781,109.5250015258789,107.45686340332031,97776
2017-04-25,108.0,112.48750305175781,108.0,109.1875,107.12574005126953,105236
2017-04-26,107.88749694824219,110.7249984741211,107.88749694824219,109.30000305175781,107.23611450195312,86396
2017-04-27,107.875,111.25,107.875,109.5,107.43233489990234,68268
2017-04-28,108.125,117.25,108.125,114.2249984741211,112.068115234375,201436
2017-05-02,117.25,117.25,111.51249694824219,112.94999694824219,110.81718444824219,79224
2017-05-03,113.32499694824219,113.61250305175781,110.38749694824219,110.5374984741211,108.45024871826172,34892
2017-05-04,111.98750305175781,112.0,110.1500015258789,110.4124984741211,108.32759857177734,50428
2017-05-05,110.7874984741211,111.5,109.75,110.8125,108.72005462646484,51412
2017-05-08,112.0,112.0,108.75,110.4000015258789,108.31534576416016,50108
2017-05-09,110.5,110.86250305175781,109.75,110.0250015258789,107.94741821289062,46920
2017-05-10,110.51249694824219,116.2874984741211,109.25,115.2249984741211,113.04923248291016,171168
2017-05-11,114.5,117.5,113.25,117.1500015258789,114.9378890991211,176448
2017-05-12,116.26249694824219,116.8499984741211,111.76249694824219,112.2249984741211,110.10587310791016,28236
2017-05-15,114.75,114.75,110.5,110.61250305175781,108.52383422851562,19296
2017-05-16,110.7249984741211,112.0875015258789,109.875,110.0374984741211,107.95967864990234,19488
2017-05-17,110.2249984741211,111.19999694824219,109.9749984741211,110.0250015258789,107.94741821289062,16692
2017-05-18,108.75,109.75,108.75,109.51249694824219,107.44459533691406,20188
2017-05-19,109.9749984741211,109.9749984741211,104.5,105.26249694824219,103.27484893798828,36568
2017-05-22,105.51249694824219,107.125,104.5374984741211,106.32499694824219,104.3172836303711,17536
