Date,Open,High,Low,Close,Adj Close,Volume
2021-01-29,24.899999618530273,25.799999237060547,24.350000381469727,24.799999237060547,21.363664627075195,381938573
2021-02-01,25.25,25.399999618530273,24.899999618530273,25.100000381469727,21.62209701538086,72044464
2021-02-02,25.450000762939453,25.450000762939453,24.700000762939453,24.75,21.320592880249023,36735442
2021-02-03,24.799999237060547,24.899999618530273,24.049999237060547,24.25,20.889873504638672,45816269
2021-02-04,24.25,25.799999237060547,23.850000381469727,25.350000381469727,21.83745574951172,88486029
2021-02-05,25.600000381469727,26.200000762939453,25.549999237060547,25.700000762939453,22.138961791992188,56318695
2021-02-08,25.899999618530273,25.950000762939453,25.600000381469727,25.75,22.182031631469727,28324374
2021-02-09,25.75,25.799999237060547,25.200000762939453,25.299999237060547,21.794384002685547,25243532
2021-02-10,25.399999618530273,25.799999237060547,25.0,25.399999618530273,21.88052749633789,33132159
2021-02-11,25.399999618530273,25.649999618530273,25.25,25.399999618530273,21.88052749633789,13586295
2021-02-12,25.5,25.549999237060547,25.299999237060547,25.399999618530273,21.88052749633789,15658220
2021-02-15,26.200000762939453,26.200000762939453,25.649999618530273,25.75,22.182031631469727,45629832
2021-02-16,25.899999618530273,26.0,25.799999237060547,25.899999618530273,22.311246871948242,34557518
2021-02-17,25.299999237060547,25.600000381469727,24.899999618530273,25.299999237060547,22.715274810791016,28638408
2021-02-18,25.450000762939453,25.799999237060547,25.399999618530273,25.649999618530273,23.029516220092773,21022422
2021-02-19,25.649999618530273,25.700000762939453,25.200000762939453,25.350000381469727,22.76016616821289,14542153
2021-02-22,25.299999237060547,25.399999618530273,24.950000762939453,25.0,22.4459228515625,16652770
2021-02-23,25.0,25.149999618530273,24.899999618530273,24.950000762939453,22.401029586791992,13021961
2021-02-24,24.899999618530273,25.200000762939453,24.850000381469727,24.899999618530273,22.356138229370117,10958830
2021-02-25,24.950000762939453,25.200000762939453,24.899999618530273,24.950000762939453,22.401029586791992,22761296
2021-02-26,24.850000381469727,24.950000762939453,24.5,24.649999618530273,22.13167953491211,36424500
2021-03-01,24.649999618530273,26.700000762939453,24.649999618530273,25.899999618530273,23.25397491455078,93579588
2021-03-02,26.100000381469727,26.299999237060547,25.450000762939453,25.649999618530273,23.029516220092773,48494934
2021-03-03,25.799999237060547,25.950000762939453,25.450000762939453,25.5,22.894840240478516,18806435
2021-03-04,25.25,25.700000762939453,25.25,25.399999618530273,22.805055618286133,21742960
