Date,Open,High,Low,Close,Adj Close,Volume
2021-11-18,1950.0,1955.0,1560.0,1560.800048828125,1560.800048828125,23955434
2021-11-22,1509.0,1519.0,1271.0,1359.5999755859375,1359.5999755859375,25114710
2021-11-23,1360.0,1525.0,1360.0,1494.699951171875,1494.699951171875,12954174
2021-11-24,1503.0,1785.0,1502.949951171875,1752.449951171875,1752.449951171875,21541021
2021-11-25,1766.699951171875,1873.699951171875,1711.0999755859375,1798.75,1798.75,13018344
2021-11-26,1760.0,1832.0,1663.0,1782.5999755859375,1782.5999755859375,6527364
2021-11-29,1700.0,1810.0,1700.0,1736.449951171875,1736.449951171875,4564112
2021-11-30,1729.949951171875,1770.0,1678.199951171875,1699.5999755859375,1699.5999755859375,2200149
2021-12-01,1715.0,1725.0,1629.1500244140625,1636.699951171875,1636.699951171875,1294466
2021-12-02,1642.0,1671.6500244140625,1592.0,1600.8499755859375,1600.8499755859375,1089716
2021-12-03,1615.0,1698.0,1601.0,1648.3499755859375,1648.3499755859375,1322036
2021-12-06,1658.0,1680.050048828125,1598.699951171875,1604.449951171875,1604.449951171875,632800
2021-12-07,1623.3499755859375,1635.0,1571.0,1577.5,1577.5,631249
2021-12-08,1590.25,1610.0,1546.25,1553.4000244140625,1553.4000244140625,726491
2021-12-09,1550.0,1644.699951171875,1525.0999755859375,1593.949951171875,1593.949951171875,2849040
2021-12-10,1605.0,1609.0,1563.0,1567.550048828125,1567.550048828125,845711
2021-12-13,1578.0,1578.75,1546.0999755859375,1555.050048828125,1555.050048828125,740610
2021-12-14,1547.0,1555.050048828125,1490.75,1496.050048828125,1496.050048828125,1386088
2021-12-15,1421.300048828125,1429.949951171875,1296.0,1379.949951171875,1379.949951171875,13139593
2021-12-16,1435.0,1435.0,1390.550048828125,1399.3499755859375,1399.3499755859375,2323522
2021-12-17,1411.0,1411.0,1307.0,1321.0,1321.0,2503637
2021-12-20,1321.0,1327.5999755859375,1290.0,1304.0,1304.0,1740923
2021-12-21,1306.0,1348.949951171875,1306.0,1311.449951171875,1311.449951171875,995207
2021-12-22,1348.0999755859375,1350.0,1330.550048828125,1342.199951171875,1342.199951171875,966463
2021-12-23,1358.449951171875,1385.0,1344.0,1348.800048828125,1348.800048828125,1268283
2021-12-24,1348.699951171875,1381.0,1331.1500244140625,1369.550048828125,1369.550048828125,1340599
2021-12-27,1365.0,1365.3499755859375,1335.300048828125,1344.949951171875,1344.949951171875,717268
2021-12-28,1350.0,1364.199951171875,1345.0,1353.5,1353.5,1112292
2021-12-29,1353.5,1379.1500244140625,1340.0,1341.550048828125,1341.550048828125,1096725
2021-12-30,1330.0,1350.0,1325.0999755859375,1327.949951171875,1327.949951171875,806752
2021-12-31,1336.0,1347.800048828125,1330.050048828125,1334.550048828125,1334.550048828125,407521
2022-01-03,1335.0,1346.8499755859375,1335.0,1339.800048828125,1339.800048828125,502075
2022-01-04,1350.0,1350.0,1313.0,1317.75,1317.75,1588242
2022-01-05,1323.5,1325.699951171875,1285.3499755859375,1288.3499755859375,1288.3499755859375,1731917
2022-01-06,1287.0,1287.0,1251.0,1254.050048828125,1254.050048828125,1765486
2022-01-07,1265.0,1265.0,1230.0,1231.5999755859375,1231.5999755859375,1807539
2022-01-10,1230.0,1230.0,1152.050048828125,1158.050048828125,1158.050048828125,4560745
2022-01-11,1165.0,1215.0,1113.6500244140625,1119.6500244140625,1119.6500244140625,6462743
2022-01-12,1124.0,1133.8499755859375,1075.0,1082.699951171875,1082.699951171875,6400253
2022-01-13,1085.0,1087.9000244140625,1025.0,1031.800048828125,1031.800048828125,5750658
2022-01-14,1025.0,1128.0,1000.0,1118.5999755859375,1118.5999755859375,16212066
2022-01-17,1127.699951171875,1145.9000244140625,1092.0,1105.300048828125,1105.300048828125,5521603
2022-01-18,1105.5,1118.449951171875,1030.0,1041.6500244140625,1041.6500244140625,4933836
2022-01-19,1044.8499755859375,1051.9000244140625,990.0,997.3499755859375,997.3499755859375,7289774
2022-01-20,1013.0,1036.0999755859375,990.0,995.3499755859375,995.3499755859375,4846568
2022-01-21,995.0499877929688,999.2999877929688,952.2999877929688,960.2999877929688,960.2999877929688,4328259
2022-01-24,960.2999877929688,960.2999877929688,881.0499877929688,917.4500122070312,917.4500122070312,7942445
2022-01-25,900.0,938.0,875.0,914.7999877929688,914.7999877929688,6091452
2022-01-27,904.0,913.0,881.0,893.7000122070312,893.7000122070312,2459507
2022-01-28,900.4000244140625,923.9000244140625,900.0,903.0499877929688,903.0499877929688,2209828
2022-01-31,920.0,932.0,911.0,916.8499755859375,916.8499755859375,1609589
2022-02-01,925.0,977.0,921.2000122070312,965.5999755859375,965.5999755859375,5469324
2022-02-02,975.0,994.0,950.0999755859375,957.0999755859375,957.0999755859375,2672904
2022-02-03,959.0,959.0,940.0499877929688,944.5,944.5,1410694
2022-02-04,950.3499755859375,961.9000244140625,946.0499877929688,953.2999877929688,953.2999877929688,1272194
2022-02-07,941.0,984.5,881.2999877929688,957.5499877929688,957.5499877929688,3854849
2022-02-08,965.75,976.75,931.75,937.9500122070312,937.9500122070312,1760398
2022-02-09,948.75,955.0,936.2000122070312,941.5,941.5,833193
2022-02-10,958.75,958.75,935.75,938.3499755859375,938.3499755859375,1036415
2022-02-11,933.0,934.4500122070312,903.0,906.5,906.5,1272179
2022-02-14,895.9500122070312,895.9500122070312,860.0,863.5,863.5,1866242
2022-02-15,874.0,884.4500122070312,840.0,851.5,851.5,2446406
2022-02-16,865.0,883.2999877929688,856.0,861.3499755859375,861.3499755859375,2793265
2022-02-17,865.0,869.7999877929688,845.25,849.9500122070312,849.9500122070312,1362229
2022-02-18,844.7999877929688,848.0,831.0,833.4000244140625,833.4000244140625,1325802
2022-02-21,832.5,834.0,805.0,807.7000122070312,807.7000122070312,1975577
2022-02-22,800.0,834.6500244140625,785.0,815.9000244140625,815.9000244140625,3701578
2022-02-23,823.0,837.0499877929688,815.25,821.9500122070312,821.9500122070312,1575013
2022-02-24,790.0,802.8499755859375,771.1500244140625,777.75,777.75,1917591
2022-02-25,801.0999755859375,806.7000122070312,785.7999877929688,789.3499755859375,789.3499755859375,1460303
2022-02-28,785.7999877929688,806.9000244140625,772.4000244140625,798.0999755859375,798.0999755859375,1334742
2022-03-02,789.0,806.6500244140625,783.5499877929688,797.2000122070312,797.2000122070312,1697859
2022-03-03,805.4500122070312,817.4500122070312,791.75,796.2999877929688,796.2999877929688,1254749
2022-03-04,787.0,798.5499877929688,782.25,784.8499755859375,784.8499755859375,1020058
2022-03-07,774.8499755859375,778.0,751.0,753.4500122070312,753.4500122070312,1157890
2022-03-08,753.0,764.9500122070312,728.0499877929688,737.75,737.75,1808389
2022-03-09,750.0,759.7999877929688,742.0999755859375,749.8499755859375,749.8499755859375,1399649
2022-03-10,766.5,795.7999877929688,761.0,775.5999755859375,775.5999755859375,2236562
2022-03-11,771.0,781.0,766.5999755859375,775.0499877929688,775.0499877929688,919363
2022-03-14,675.0,719.0,661.5,674.7999877929688,674.7999877929688,15155319
2022-03-15,695.0499877929688,703.3499755859375,584.5499877929688,592.4500122070312,592.4500122070312,23922506
2022-03-16,597.0,648.6500244140625,572.0,634.0499877929688,634.0499877929688,33733481
2022-03-17,633.0,637.0,590.0,597.0499877929688,597.0499877929688,16758410
2022-03-21,595.0,595.0,560.0999755859375,565.7000122070312,565.7000122070312,12853207
2022-03-22,565.75,590.4500122070312,540.3499755859375,544.0,544.0,26111441
2022-03-23,552.0,562.0,521.0,524.2999877929688,524.2999877929688,8888824
2022-03-24,522.0,595.0,521.0999755859375,574.3499755859375,574.3499755859375,24014616
2022-03-25,577.5999755859375,588.0,541.1500244140625,546.0,546.0,8790875
