Date,Open,High,Low,Close,Adj Close,Volume
2016-12-07,135.0,135.0,135.0,135.0,134.92581176757812,4
2016-12-08,141.75,141.75,141.75,141.75,141.67210388183594,2
2016-12-09,148.8249969482422,148.8249969482422,148.8249969482422,148.8249969482422,148.7432098388672,2
2016-12-12,156.25,156.25,156.25,156.25,156.1641387939453,2
2016-12-13,164.0500030517578,164.0500030517578,164.0500030517578,164.0500030517578,163.95985412597656,202
2016-12-14,164.0500030517578,164.0500030517578,164.0500030517578,164.0500030517578,163.95985412597656,0
2016-12-15,172.25,172.25,172.25,172.25,172.15533447265625,2
2016-12-16,172.25,172.25,172.25,172.25,172.15533447265625,0
2016-12-19,172.25,172.25,172.25,172.25,172.15533447265625,0
2016-12-20,180.85000610351562,180.85000610351562,180.85000610351562,180.85000610351562,180.75062561035156,2
2016-12-21,180.85000610351562,180.85000610351562,180.85000610351562,180.85000610351562,180.75062561035156,0
2016-12-22,180.85000610351562,180.85000610351562,180.85000610351562,180.85000610351562,180.75062561035156,0
2016-12-23,180.85000610351562,180.85000610351562,180.85000610351562,180.85000610351562,180.75062561035156,0
2016-12-26,180.85000610351562,180.85000610351562,180.85000610351562,180.85000610351562,180.75062561035156,0
2016-12-27,180.85000610351562,180.85000610351562,180.85000610351562,180.85000610351562,180.75062561035156,0
2016-12-28,189.875,189.875,189.875,189.875,189.77064514160156,2
2016-12-29,199.35000610351562,199.35000610351562,199.35000610351562,199.35000610351562,199.24044799804688,2
2016-12-30,199.35000610351562,199.35000610351562,199.35000610351562,199.35000610351562,199.24044799804688,0
2017-01-02,199.35000610351562,199.35000610351562,199.35000610351562,199.35000610351562,199.24044799804688,0
2017-01-03,209.3000030517578,209.3000030517578,209.3000030517578,209.3000030517578,209.18499755859375,2
2017-01-04,219.75,219.75,219.75,219.75,219.62924194335938,2
2017-01-05,219.75,219.75,219.75,219.75,219.62924194335938,0
2017-01-06,230.72500610351562,230.72500610351562,230.72500610351562,230.72500610351562,230.59820556640625,2
2017-01-09,242.25,242.25,242.25,242.25,242.11688232421875,2
2017-01-10,242.25,242.25,242.25,242.25,242.11688232421875,0
2017-01-11,254.35000610351562,254.35000610351562,254.35000610351562,254.35000610351562,254.21023559570312,2
2017-01-12,267.04998779296875,267.04998779296875,267.04998779296875,267.04998779296875,266.9032287597656,2
2017-01-13,280.3999938964844,280.3999938964844,280.3999938964844,280.3999938964844,280.24591064453125,2
2017-01-16,294.3999938964844,294.3999938964844,294.3999938964844,294.3999938964844,294.2381896972656,2
2017-01-17,309.1000061035156,309.1000061035156,309.1000061035156,309.1000061035156,308.9301452636719,2
2017-01-18,324.54998779296875,324.54998779296875,324.54998779296875,324.54998779296875,324.3716125488281,2
2017-01-19,340.7749938964844,340.7749938964844,340.7749938964844,340.7749938964844,340.58770751953125,2
2017-01-20,357.79998779296875,357.79998779296875,357.79998779296875,357.79998779296875,357.6033630371094,2
2017-01-23,375.67498779296875,375.67498779296875,375.67498779296875,375.67498779296875,375.46856689453125,2
2017-01-24,394.45001220703125,394.45001220703125,394.45001220703125,394.45001220703125,394.2332458496094,2
2017-01-25,414.1499938964844,414.1499938964844,414.1499938964844,414.1499938964844,413.9223937988281,2
2017-01-27,434.8500061035156,434.8500061035156,434.8500061035156,434.8500061035156,434.61102294921875,2
2017-01-30,456.57501220703125,456.57501220703125,456.57501220703125,456.57501220703125,456.3240966796875,2
2017-01-31,479.3999938964844,479.3999938964844,479.3999938964844,479.3999938964844,479.13653564453125,2
2017-02-01,503.3500061035156,503.3500061035156,503.3500061035156,503.3500061035156,503.0733947753906,2
2017-02-02,528.5,528.5,528.5,528.5,528.2095336914062,2
2017-02-03,554.9249877929688,554.9249877929688,554.9249877929688,554.9249877929688,554.6199951171875,2
2017-02-06,582.6500244140625,582.6500244140625,582.6500244140625,582.6500244140625,582.329833984375,2
2017-02-07,611.7750244140625,611.7750244140625,611.7750244140625,611.7750244140625,611.4388427734375,2
2017-02-08,642.3499755859375,642.3499755859375,642.3499755859375,642.3499755859375,641.9970092773438,2
2017-02-09,674.4500122070312,674.4500122070312,674.4500122070312,674.4500122070312,674.079345703125,2
2017-02-10,708.1500244140625,708.1500244140625,708.1500244140625,708.1500244140625,707.7608642578125,2
2017-02-13,743.5499877929688,743.5499877929688,743.5499877929688,743.5499877929688,743.141357421875,2
2017-02-14,780.7249755859375,780.7249755859375,780.7249755859375,780.7249755859375,780.2958984375,54
2017-02-15,819.75,819.75,819.75,819.75,819.299560546875,2
2017-02-16,860.7249755859375,860.7249755859375,860.7249755859375,860.7249755859375,860.2520141601562,4
2017-02-17,903.75,903.75,903.75,903.75,903.2533569335938,24
2017-02-20,948.9249877929688,948.9249877929688,948.9249877929688,948.9249877929688,948.4035034179688,2
2017-02-21,996.3499755859375,996.3499755859375,996.3499755859375,996.3499755859375,995.8024291992188,54
2017-02-22,1046.1500244140625,1046.1500244140625,1046.1500244140625,1046.1500244140625,1045.5750732421875,10
2017-02-23,1098.449951171875,1098.449951171875,1098.449951171875,1098.449951171875,1097.8463134765625,4
2017-02-27,1153.3499755859375,1153.3499755859375,1153.3499755859375,1153.3499755859375,1152.7161865234375,10
