Date,Open,High,Low,Close,Adj Close,Volume
2000-05-31,10.984375,11.875,10.984375,11.28125,10.122858047485352,0
2000-06-01,11.25,11.25,11.25,11.25,10.094817161560059,0
2000-06-02,11.25,11.859375,11.25,11.25,10.094817161560059,0
2000-06-05,11.25,11.515625,11.1875,11.25,10.094817161560059,0
2000-06-06,11.234375,11.25,11.125,11.15625,10.010692596435547,0
2000-06-07,11.046875,11.28125,10.984375,11.28125,10.122858047485352,0
2000-06-08,11.40625,11.40625,11.125,11.40625,10.235020637512207,0
2000-06-09,11.625,11.625,11.390625,11.390625,10.221001625061035,0
2000-06-12,12.109375,12.109375,11.421875,11.5625,10.375227928161621,0
2000-06-13,11.828125,11.875,11.640625,11.796875,10.58553409576416,0
2000-06-14,12.40625,12.40625,11.765625,11.765625,10.557494163513184,0
2000-06-15,11.34375,11.625,11.34375,11.625,10.431310653686523,0
2000-06-16,11.5625,11.5625,11.453125,11.5625,10.375227928161621,0
2000-06-19,11.5625,11.5625,11.421875,11.515625,10.333163261413574,0
2000-06-20,11.765625,12.4375,11.765625,12.40625,11.13233757019043,0
2000-06-21,12.0625,12.203125,12.046875,12.1875,10.936049461364746,0
2000-06-22,12.1875,12.1875,12.1875,12.1875,10.936049461364746,0
2000-06-23,11.875,11.875,11.875,11.875,10.6556396484375,0
2000-06-26,12.03125,12.03125,11.25,11.40625,10.235020637512207,0
2000-06-27,12.109375,12.1875,11.78125,11.8125,10.599555969238281,0
2000-06-28,12.234375,12.234375,11.734375,12.171875,10.92203140258789,0
2000-06-29,11.59375,12.65625,11.59375,12.234375,10.978113174438477,0
2000-06-30,12.21875,12.59375,11.875,11.875,10.6556396484375,0
2000-07-03,11.734375,11.765625,11.71875,11.765625,10.557494163513184,0
2000-07-04,11.75,11.953125,11.71875,11.796875,10.58553409576416,0
2000-07-05,11.0,11.75,11.0,11.75,10.543472290039062,0
2000-07-06,11.75,11.75,11.6875,11.6875,10.487391471862793,0
2000-07-07,11.671875,12.25,11.671875,12.25,10.992134094238281,0
2000-07-10,11.8125,11.84375,11.65625,11.6875,10.487391471862793,0
2000-07-11,11.5625,12.296875,11.40625,11.796875,10.58553409576416,0
2000-07-12,11.875,12.1875,11.875,12.1875,10.936049461364746,0
2000-07-13,12.5,12.5,11.5625,11.5625,10.375227928161621,0
2000-07-14,11.875,12.65625,11.640625,12.34375,11.076253890991211,0
2000-07-17,11.765625,11.765625,11.765625,11.765625,10.557494163513184,0
2000-07-18,11.890625,12.34375,11.875,12.34375,11.076253890991211,0
2000-07-19,12.34375,12.421875,12.1875,12.1875,10.936049461364746,0
2000-07-20,12.40625,12.40625,12.0,12.0,10.767802238464355,0
2000-07-21,11.875,12.03125,11.875,12.03125,10.795845031738281,0
2000-07-24,11.25,11.40625,11.25,11.40625,10.235020637512207,0
2000-07-25,11.09375,11.25,11.09375,11.25,10.094817161560059,0
2000-07-26,11.25,11.25,11.25,11.25,10.094817161560059,0
2000-07-27,11.71875,11.71875,11.71875,11.71875,10.515433311462402,0
2000-07-28,12.015625,12.015625,12.015625,12.015625,10.781825065612793,0
2000-07-31,11.40625,11.46875,11.40625,11.46875,10.291102409362793,0
2000-08-01,11.25,11.40625,11.125,11.125,9.98265266418457,0
2000-08-02,10.8125,10.8125,10.8125,10.8125,9.702239036560059,0
